NEA_Inland_N:China_Yumin_N,0.018212,-0.427538,0.066373,-0.032946,-0.049548,-0.04016,0.00705,0.012461,0.010022,0.021504,-0.063656,-0.006894,0.002825,0.001101,-0.008143,-0.002387,0.004172,0.002534,0.003017,0.019509,-0.012728,0.000989,-0.017131,-0.002651,0.007305
NEA_Shandong_N:China_NEastAsia_Coastal_EN,0.017358,-0.4399782,0.0274355,-0.057171,0.021004,-0.0011853,0.0045238,0.0021348,-0.0053178,0.006697,-0.0788395,-0.0077182,0.0106662,-0.0059178,-0.008652,-0.004707,0.0032595,0.0047825,0.00198,-0.000469,0.0158468,0.0023185,0.0018178,-0.0035242,-0.007095
SEA_Fujian_N:China_SEastAsia_Island_EN,0.009675,-0.4087505,-0.0511,-0.0363375,0.1120205,0.040997,-0.00329,-0.00773,-0.009408,-0.0088385,0.0369435,0.002623,-0.0068385,0.0028905,0.007736,0.0082205,0.0024775,0.004434,0.0016345,-0.0116305,0.003743,-0.013911,0.0036975,-0.0134355,-0.0332905
Jomon_HG:Japan_HG_Jomon,0.0106994,-0.3460924,-0.0530232,0.012274,0.0379146,0.0152274,-0.002773,-0.0007846,0.0256064,0.0189888,-0.0501782,-0.0083326,0.009098,-0.0063856,-0.0248098,-0.0170508,0.0053458,0.0094006,0.003922,-0.0048774,0.0638872,-0.0453804,0.0078138,0.0122908,-0.0984104
Hoabinhian_HG:Laos_Hoabinhian.SG,-0.030732,-0.222401,-0.121433,0.089148,0.02185,-0.001952,-0.005875,0.015922,0.058085,0.024055,0.016401,0.002398,0.000743,0.002202,-0.0095,-0.005967,-0.002868,-0.007348,-0.004525,0.026012,0.010482,0.013107,-0.013434,0.002892,0.005269
Australasian:Vanuatu_2300BP,-0.042115,-0.227479,-0.232306,0.254525,0.180957,-0.410527,0,0.005538,-0.028633,-0.011663,-0.003248,0.005995,0.001041,-0.000826,-0.002307,-0.001326,-0.003781,-0.005954,-0.006788,0.005378,0.006613,-0.009274,0.001972,-0.001205,-0.008622
West_Africa_Historic:Congo_Kindoki_Protohistoric,-0.622043,0.058901,0.0216845,0.0182495,0.002462,0.0131075,-0.006698,0.0171915,-0.0377345,0.016857,0.00544,-0.0003745,-0.0014865,-0.0046105,-0.0007465,0.008088,-0.008475,-0.003104,-0.0043365,0.005878,0.0042425,-0.001855,0.000616,-0.0045785,0.0019755
East_Africa_HG:Ethiopia_4500BP,-0.517895,0.040621,-0.003017,-0.000646,-0.002154,-0.009761,0.057813,-0.049383,0.089172,-0.084375,-0.013803,-0.014987,-0.036571,-0.001651,0.02348,-0.030628,0.022817,0.041047,0.005279,-0.008629,0.00262,0.001855,-0.006039,0.001205,0.002515
Rainforest_HG:Cameroon_SMA,-0.6075308,0.0553465,0.0153678,0.0260015,-0.002385,0.00251,0.1367175,-0.1052838,0.0087948,-0.001777,0.000812,-0.0306102,-0.023674,-0.000757,0.0041735,-0.0019558,0.008475,0.0187182,-0.0059392,-0.0026888,-0.0018405,-0.0009275,-0.0029272,-0.0018375,-0.0045202
South_Africa_HG:South_Africa_2000BP.SG,-0.644239,0.058901,0.02489,0.034884,-0.001231,-0.004183,0.262977,-0.202838,0.015135,0.014943,0.010393,-0.06759,-0.020961,0.004266,0.025244,-0.018032,0.031814,0.299238,-0.098673,0.005378,-0.030571,-0.002844,-0.00037,-0.003133,-0.002275
