Tatar_Kazan:TTR-086,0.111547,0.023357,0.056568,0.040375,-0.007078,0.006693,0.00893,0.008769,-0.002454,-0.025149,0.00682,-0.013338,0.013677,-0.018441,-0.012758,0.004773,0.012386,-0.007348,-0.014832,-0.002501,0.004492,-0.006554,-0.0053,0.00012,0.002036
Tatar_Kazan:TTR-094,0.105855,0.005078,0.065619,0.042636,-0.016311,0.009203,0.00235,0.004615,-0.004704,-0.023691,-0.00341,-0.006145,0.014123,-0.013212,-0.013029,0.001326,0.00678,0.005321,-0.009176,-0.008504,0.004991,0.002349,-0.003944,-0.007832,-0.004311
Tatar_Kazan:TTR-097,0.111547,0.016248,0.071276,0.053295,-0.003077,0.017849,0.01034,0.017999,-0.004704,-0.016583,0.002761,-0.005995,0.00773,-0.00055,-0.011129,-0.005038,-0.001434,0.00038,-0.003645,-0.000875,0.00549,0.004946,-0.013188,0.001807,0.001557
Tatar_Kazan:TTR-201,0.106994,0.005078,0.053928,0.048127,-0.007078,0.001673,0.003995,0.005769,-0.003477,-0.016037,-0.002436,-0.001948,0.015163,-0.008945,-0.008007,-0.00305,0.010822,-0.003294,-0.013324,-0.009379,-0.012228,-0.001855,0.001109,0.00976,-0.005987
Tatar_Kazan:TTR-217,0.114961,0.025388,0.062602,0.049419,-0.001231,0.007809,0.006815,0.006231,-0.000614,-0.017859,0.005684,-0.007044,0.005352,-0.001239,-0.006922,-0.010342,-0.004433,-0.001647,-0.008673,-0.006753,-0.002496,0.00272,-0.008011,-0.004699,-0.005868
Tatar_Kazan:TTR-244,0.111547,0.004062,0.055437,0.049096,-0.00954,0.011713,0.00564,0.015922,-0.008181,-0.022962,-0.001461,-0.006894,0.020218,-0.00234,-0.0076,-0.002121,0.002868,0.002154,-0.007542,-0.009254,0.009234,0.002226,-0.010106,0.000723,0.001676
Tatar_Kazan:TTR-245,0.106994,0.011171,0.061094,0.045866,0.006463,0.005857,0.00423,0.01223,-0.00859,-0.014579,0.005684,-0.008393,0.011298,-0.001789,-0.001629,-0.011535,-0.009257,-0.004561,-0.004274,0.006253,-0.001872,0.002102,-0.002958,0.01217,0.00934
Tatar_Kazan:TTR-249,0.10927,0.014217,0.061848,0.031654,-0.007078,0.007251,0.001645,0.013153,-0.010635,-0.017312,0.00341,-0.009741,0.00996,-0.006606,-0.004343,-0.00716,-0.009388,0.000253,-0.003771,-0.004002,0.005989,0.003833,-0.001109,0,0.001437
Tatar_Lipka:Tatar_Lipka1,0.106994,-0.022342,0.04714,0.021964,-0.008617,0.003068,0.009635,0.008769,-0.01943,-0.018224,-0.004384,-0.003297,0.009663,0.012937,-0.005836,-0.018165,-0.023208,-0.001014,-0.002263,-0.004627,-0.009733,-0.002844,-0.006286,-0.00735,0.009939
Tatar_Lipka:Tatar_Lipka2,0.103579,-0.010155,0.052797,0.020995,0.004308,0.006693,0.00658,0.008538,-0.006136,-0.014032,-0.007632,-0.005095,0.009812,0.009771,-0.003936,-0.019491,-0.014603,0.000507,0.008296,-0.002501,-0.003244,-0.001731,-0.000123,-0.005302,0.005987
